## Torsion are defined with the following atomIDs:
# dihed1: ai= 11 aj= 9 ak= 8 al= 5
# dihed2: ai= 9 aj= 8 ak= 5 al= 4
# dihed3: ai= 8 aj= 5 ak= 4 al= 2
# dihed4: ai= 8 aj= 5 ak= 6 al= 31
# dihed5: ai= 5 aj= 4 ak= 2 al= 1
# dihed6: ai= 5 aj= 6 ak= 31 al= 32
# dihed7: ai= 6 aj= 31 ak= 32 al= 35
# dihed8: ai= 35 aj= 32 ak= 33 al= 45
# dihed9: ai= 31 aj= 32 ak= 35 al= 36
# dihed10: ai= 32 aj= 35 ak= 36 al= 38
# dihed11: ai= 35 aj= 36 ak= 38 al= 43
# dihed12: ai= 32 aj= 33 ak= 45 al= 46
# dihed13: ai= 33 aj= 45 ak= 46 al= 49
# dihed14: ai= 49 aj= 46 ak= 47 al= 69
# dihed15: ai= 45 aj= 46 ak= 49 al= 50
# dihed16: ai= 46 aj= 49 ak= 50 al= 52
# dihed17: ai= 46 aj= 47 ak= 69 al= 70
# dihed18: ai= 47 aj= 69 ak= 70 al= 73
# dihed19: ai= 69 aj= 70 ak= 71 al= 80
# dihed20: ai= 69 aj= 70 ak= 73 al= 74
# dihed21: ai= 70 aj= 73 ak= 74 al= 79
# dihed22: ai= 70 aj= 71 ak= 80 al= 81
# dihed23: ai= 71 aj= 80 ak= 81 al= 84
# dihed24: ai= 84 aj= 81 ak= 82 al= 102
# dihed25: ai= 80 aj= 81 ak= 84 al= 85
# dihed26: ai= 81 aj= 84 ak= 85 al= 86
# dihed27: ai= 84 aj= 85 ak= 86 al= 87
# dihed28: ai= 85 aj= 86 ak= 87 al= 88
# dihed29: ai= 81 aj= 82 ak= 102 al= 103
# dihed30: ai= 82 aj= 102 ak= 103 al= 106
# dihed31: ai= 102 aj= 103 ak= 104 al= 113
# dihed32: ai= 102 aj= 103 ak= 106 al= 107
# dihed33: ai= 103 aj= 106 ak= 107 al= 112
# dihed34: ai= 103 aj= 104 ak= 113 al= 114
# dihed35: ai= 104 aj= 113 ak= 114 al= 117
# dihed36: ai= 117 aj= 114 ak= 115 al= 124
# dihed37: ai= 113 aj= 114 ak= 117 al= 118
# dihed38: ai= 114 aj= 115 ak= 124 al= 125
# dihed39: ai= 114 aj= 117 ak= 118 al= 120
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10  dihed11  dihed12  dihed13  dihed14  dihed15  dihed16  dihed17  dihed18  dihed19  dihed20  dihed21  dihed22  dihed23  dihed24  dihed25  dihed26  dihed27  dihed28  dihed29  dihed30  dihed31  dihed32  dihed33  dihed34  dihed35  dihed36  dihed37  dihed38  dihed39
21 -130.844 -175.868  142.926 -136.699  171.728  175.892  157.106 -141.908 -179.451 -140.566  166.116  175.335   77.706 -135.461 -159.867   62.808 -172.170  153.126  118.792  -67.970   68.496 -171.275  171.348 -116.971 -171.946 -173.691  172.470   57.113 -169.211  -50.247   -0.130   70.227  -55.899  178.170  102.436   87.619  -44.315 -175.726   70.309
22 -111.842  174.284  132.505 -126.083  176.513 -167.440  165.967 -134.965 -171.502   84.241 -169.012 -177.230   77.785  177.890 -155.145   92.393 -170.286  168.652  155.552  -39.573  -28.442 -168.805  149.288 -107.715 -157.142 -172.429  158.521   60.827 -172.009  -49.518   12.158   61.995  -40.446 -172.850  102.852   79.551  -59.289  179.779   87.798
23  -99.903  179.580  156.987  -97.863  173.608  176.034   89.912 -104.074 -173.179   90.291 -170.091  172.168   95.357 -149.962 -166.068  134.381 -177.652  155.217  147.588  -81.396   98.656  174.456  173.731 -104.490 -172.741 -178.700  178.305   48.698 -175.641  -47.249    1.714   78.709  -51.083 -177.876  113.143   78.654  -66.713  171.789   93.276
24  -95.097 -171.650   90.517  -97.591  177.144  168.408   95.263 -100.364 -150.415  120.818  174.326  146.473   80.227 -159.772 -160.135   79.084 -173.063  151.571  138.555  -65.095   69.624 -175.222  176.684 -109.370  178.045  172.043  175.690   77.006 -175.531  -46.183    2.773   88.894  -70.370 -163.836   86.572  114.178  -60.053  171.028  106.471
25  -98.117 -163.546  166.083 -111.014 -179.568 -169.336   97.858  -99.255 -169.646 -127.560 -160.336 -169.161   82.997 -145.408 -150.153   78.192  179.098  159.430  135.090  -67.645  -49.210  179.128  160.411 -103.869 -165.569  170.210  170.467   74.771 -168.056  -55.491    9.941   67.166  -40.037 -178.305  103.028   67.837  -81.645 -175.531   79.506
26  -90.356  172.689  179.190 -122.042 -179.366  177.449  100.170 -121.852 -167.657  119.071  172.580 -177.901  147.651 -116.463 -169.406   55.988 -167.343  144.584  123.977  -75.213  -52.793 -174.085  159.419  -92.731 -177.699  175.926  165.453   77.166 -175.630  -51.014    7.443   80.946  -43.262 -172.920   92.099   69.349  -70.731 -175.760  117.354
27 -141.062 -165.127  137.329  -79.130 -178.090  178.437   80.100 -119.429 -168.950 -105.838  170.286 -172.233  126.628 -149.984  178.553   74.614 -167.024  177.284  139.561  -74.759  -39.073  157.486 -177.503  -96.796 -162.618  160.905  167.602   77.205 -179.534  -56.961    0.260   79.524  -53.269  179.036  107.405   78.401  -65.646 -171.037   81.782
28 -102.793 -157.209   66.669  -83.522 -167.497 -175.995   82.070 -115.475 -177.165   98.885 -177.126 -177.009   79.864 -151.557 -168.150   77.428 -166.557  139.117  153.061 -168.698   77.772 -179.231  166.075 -104.014 -173.936 -172.392 -179.581   54.806 -167.616  -58.446  -12.182   81.992  -32.109  167.210  141.860   84.200  -52.940  174.330   83.913
29  -95.106 -178.049  134.984 -106.464  178.634 -177.840   96.013  -97.298 -170.182 -126.271  178.530 -172.010   94.439 -141.481 -174.065   70.377 -165.822  147.196  145.787 -159.859   37.920  178.479 -176.208 -105.177 -168.421  163.497  172.188   55.893  174.396  -52.046  -16.700   81.301  -55.200  169.793  124.938  109.502  -69.723 -176.557  103.337
30 -112.179 -175.478  165.616 -108.622 -174.567 -178.883   64.075 -120.948 -164.911  114.113 -168.428  167.297  169.506 -139.921 -149.647   48.935 -168.260  160.044  137.104 -164.589   62.368  179.686  167.252 -113.910 -163.887 -175.634  164.374   56.185 -167.489  -52.784    4.692   79.437  -60.323  173.883  116.021   90.382  -77.921 -168.075   78.948
