  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      244        4.322        6.998            1      882.711      856.200      490.166
      245        4.614        6.846            1      859.987      778.997      407.191
      246        4.540        6.737            1      844.309      743.731      384.542
      247        4.506        6.944            0      868.040      793.598      457.147
      248        4.455        7.188            1      875.859      812.766      473.332
      249        4.581        6.994            0      871.249      792.743      466.396
      250        4.593        7.225            0      866.946      766.529      451.611
      251        4.542        6.961            1      871.246      860.770      513.535
      252        4.657        7.189            1      868.625      749.126      480.806
      253        4.448        6.722            1      821.503      778.941      416.035
      254        4.625        7.020            0      854.216      791.842      452.126
      255        4.631        7.200            0      878.407      790.600      458.820
      256        4.585        7.728            0      882.473      818.900      479.075
      257        4.343        7.279            2      858.153      772.395      434.094
      258        4.386        6.930            0      860.370      837.755      464.623
      259        4.311        6.932            1      886.597      814.356      483.212
      260        4.278        7.064            1      880.158      848.872      453.494
      261        4.265        7.145            1      872.433      823.302      467.710
      262        4.240        7.518            2      913.055      849.238      474.799
      263        4.050        7.152            0      877.889      767.507      480.030
      264        4.323        7.043            0      873.820      795.988      479.397
      265        4.402        6.941            1      857.774      800.004      473.673
      266        4.356        7.077            1      866.174      825.288      495.742
      267        4.373        6.941            0      852.375      818.561      488.051
      268        4.230        7.219            1      899.089      821.617      499.051
      269        4.192        7.133            0      870.549      861.841      477.605
      270        4.163        7.410            0      903.210      859.869      519.409
      271        4.448        7.410            0      887.072      897.467      488.317
      272        4.739        7.290            0      883.284      892.590      497.326
      273        4.473        7.250            1      870.424      854.740      468.908
      274        4.536        7.103            1      865.944      896.207      446.604
      275        4.478        7.214            0      879.168      829.604      503.329
      276        4.212        7.417            0      877.083      794.985      486.356
      277        4.420        6.963            1      852.377      768.829      464.467
      278        4.921        7.299            1      864.119      872.007      466.536
      279        4.863        7.626            0      864.258      825.266      481.254
      280        4.668        7.597            0      871.006      830.972      465.486
      281        4.598        7.402            1      866.580      847.399      467.203
      282        4.611        7.349            1      875.085      892.578      449.927
      283        4.630        7.163            1      873.223      948.522      487.938
      284        4.695        7.041            0      876.719      925.575      480.556
      285        4.475        6.871            0      844.953      846.130      449.927
      286        4.566        6.971            0      846.103      776.388      460.150
      287        4.290        7.426            1      861.992      810.512      482.371
      288        4.402        7.474            0      855.839      882.268      462.885
      289        4.392        7.839            1      885.987      876.275      482.358
      290        4.556        7.614            0      907.657      915.167      490.107
      291        4.553        7.481            0      879.523      872.077      485.280
      292        4.700        7.833            0      886.482      863.905      488.867
      293        4.653        7.707            0      880.031      866.831      475.964
      294        4.695        7.488            0      850.622      902.772      482.688
      295        4.495        7.545            0      850.668      873.894      469.100
      296        4.692        7.385            0      860.241      844.738      473.237
      297        4.549        7.356            0      838.510      817.705      436.282
      298        4.428        7.317            0      856.918      833.371      479.988
      299        4.512        7.544            1      853.273      866.407      474.948
      300        4.533        7.449            0      856.494      790.632      465.770
      301        4.719        7.441            1      875.938      878.586      474.820
      302        4.640        7.405            0      859.640      905.105      480.328
      303        4.730        7.229            1      879.878      864.068      462.211
      304        4.677        7.460            1      872.902      907.588      459.336
      305        4.602        7.129            1      852.498      855.227      421.058
      306        4.635        6.947            0      844.076      863.836      421.816
      307        4.333        7.284            1      871.702      890.103      439.669
      308        4.188        7.326            3      861.295      830.795      459.639
      309        4.310        7.572            0      878.688      843.827      523.569
      310        4.121        7.644            0      852.169      832.193      499.023
      311        4.357        7.232            0      863.719      840.507      517.279
      312        4.353        7.798            1      876.075      789.659      488.606
      313        4.198        7.528            1      864.782      851.663      477.407
      314        4.477        7.522            1      892.060      863.758      462.511
      315        4.672        7.597            1      876.685      838.165      465.445
      316        4.647        7.391            1      872.437      836.380      447.426
      317        4.499        7.181            0      850.254      863.119      444.247
      318        4.694        7.223            1      843.284      809.455      427.730
      319        4.560        7.523            0      872.154      892.399      456.544
      320        4.719        7.275            3      852.464      851.110      423.513
      321        4.704        7.448            0      870.243      815.973      443.815
      322        4.329        7.547            0      861.547      757.872      492.080
      323        4.470        7.310            1      864.971      844.150      454.376
      324        4.574        7.443            1      881.670      912.238      452.142
      325        4.619        7.627            0      876.754      880.000      443.988
      326        4.466        7.223            0      874.185      937.214      451.264
      327        4.301        7.502            0      868.692      808.854      469.584
      328        4.229        7.530            0      876.099      895.444      492.390
      329        4.130        7.511            1      866.967      853.338      484.774
      330        4.310        7.602            2      888.364      876.304      483.235
      331        4.322        7.455            0      894.136      887.207      524.556
      332        4.300        7.536            1      887.442      943.229      506.423
      333        4.409        7.519            1      864.412      903.786      472.858
      334        4.454        7.560            2      888.718      892.803      477.551
      335        4.434        7.690            0      885.723      872.748      506.850
      336        4.390        7.353            2      869.122      880.714      465.029
      337        4.260        7.709            1      880.922      799.652      480.463
      338        4.531        7.578            1      884.309      884.229      471.672
      339        4.506        7.622            0      884.596      875.879      464.778
      340        4.457        7.606            3      880.801      911.930      466.261
      341        4.338        7.661            0      882.264      781.564      487.247
      342        4.388        7.460            0      869.218      756.159      476.753
      343        4.212        7.521            1      878.744      814.461      467.817
      344        4.224        7.587            1      879.776      804.503      484.273
      345        4.239        7.508            0      874.606      829.510      510.979
      346        4.288        7.618            0      890.511      836.419      506.531
      347        4.452        7.693            0      879.754      831.317      496.647
      348        4.330        7.475            1      883.228      795.110      466.701
      349        4.316        7.278            1      865.278      770.591      473.293
      350        4.318        7.491            0      883.442      774.488      467.598
      351        4.396        7.560            0      859.031      784.601      469.711
      352        4.743        7.834            0      897.374      830.506      467.144
      353        4.943        7.561            0      897.367      826.070      470.029
      354        4.698        7.751            0      894.960      833.011      477.935
      355        4.923        7.767            0      886.699      740.702      439.566
      356        5.039        7.515            0      876.880      740.863      444.080
      357        4.814        7.160            0      866.363      761.138      456.830
      358        4.919        7.630            0      877.521      773.142      470.031
      359        5.112        7.304            0      866.653      728.552      434.154
      360        5.070        7.281            0      863.689      718.697      415.045
      361        5.014        7.617            0      890.599      785.037      456.788
      362        4.714        7.520            0      858.778      777.886      488.524
      363        4.389        7.487            1      882.196      799.264      478.518
      364        4.463        7.312            0      871.581      787.615      469.838
      365        4.487        7.370            0      886.971      758.453      474.654
      366        4.211        7.624            0      870.706      696.797      506.937
      367        4.424        7.282            0      884.102      780.824      486.764
      368        4.344        7.523            0      877.132      731.414      488.297
      369        4.464        7.065            1      878.597      804.776      479.582
      370        4.383        7.456            0      880.581      808.395      485.764
      371        4.270        7.719            0      897.800      815.063      511.469
      372        4.263        7.517            1      893.830      796.748      494.716
      373        4.085        7.500            0      888.693      820.034      516.574
      374        4.242        7.532            0      877.896      787.999      495.434
      375        4.342        7.475            2      887.613      852.628      469.632
      376        4.563        7.364            1      889.798      850.738      446.409
      377        4.494        6.937            1      870.704      803.436      446.969
      378        4.320        7.363            3      880.990      746.213      469.188
      379        4.277        7.169            1      863.978      620.308      462.969
      380        4.191        7.145            0      888.077      710.776      491.188
      381        4.190        7.267            0      875.847      691.592      493.780
      382        4.164        7.214            0      884.213      673.862      479.519
      383        4.195        6.895            1      859.033      682.936      449.882
      384        4.260        7.324            0      881.370      672.636      484.719
      385        4.412        7.028            1      856.345      709.591      450.192
      386        4.379        7.115            1      851.596      681.737      456.312
