  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      175        4.311        6.043            2      824.230      803.881      337.617
      176        4.818        6.194            2      847.011      820.132      362.119
      177        4.225        5.981            2      817.079      801.051      330.678
      178        4.604        6.076            2      853.913      838.912      335.118
      179        4.264        6.078            3      834.606      826.396      353.839
      180        4.073        6.103            3      864.915      857.295      376.430
      181        4.318        6.158            3      861.345      865.299      367.717
      182        4.037        6.077            3      854.558      802.560      348.616
      183        3.782        6.046            1      861.946      845.195      379.610
      184        4.020        6.098            1      842.239      843.859      374.198
      185        3.982        6.081            1      844.946      832.362      378.838
      186        3.675        6.021            2      824.872      812.116      363.676
      187        4.273        6.007            2      846.468      819.011      346.344
      188        4.278        6.122            2      864.992      823.062      355.782
      189        3.899        6.104            2      852.200      814.597      367.030
      190        3.882        6.112            2      860.270      846.461      390.030
      191        3.769        6.030            2      827.216      858.869      333.255
      192        4.304        6.031            3      853.827      837.831      365.895
      193        4.130        6.041            2      870.303      853.839      375.399
      194        4.277        6.052            3      877.302      888.879      382.777
      195        3.944        6.086            3      850.112      845.454      381.555
      196        3.862        6.087            1      850.521      868.853      396.238
      197        4.015        6.080            1      857.875      867.411      403.875
      198        3.822        6.034            2      848.189      907.216      383.463
      199        4.138        6.124            2      845.235      833.556      380.998
      200        4.167        6.036            3      841.187      859.988      367.065
      201        4.365        6.058            2      841.804      852.252      381.475
      202        3.921        6.124            2      849.732      884.827      385.707
      203        4.064        6.142            2      848.822      863.743      374.904
      204        3.862        6.002            2      829.880      834.231      380.248
      205        4.305        6.001            4      841.808      885.236      340.633
      206        3.878        6.092            3      849.444      868.642      356.103
      207        3.739        5.891            3      812.889      882.106      343.331
      208        4.286        6.155            1      851.892      924.655      350.758
      209        3.922        6.168            3      850.773      849.193      388.482
      210        3.692        5.947            4      819.106      825.520      355.837
      211        3.971        6.075            2      842.106      934.056      358.423
      212        4.341        6.117            3      855.229      884.154      359.000
      213        3.900        5.924            2      823.986      876.843      359.405
      214        4.119        5.994            3      817.610      848.086      363.022
      215        4.229        6.045            1      859.371      915.130      384.408
      216        3.843        6.171            1      864.754      918.167      396.526
      217        4.303        6.197            3      883.241      953.616      387.425
      218        4.256        6.072            2      851.658      904.421      376.196
      219        3.981        6.059            4      838.764      887.586      376.542
      220        3.870        5.980            1      830.687      926.222      381.155
      221        4.028        6.025            1      851.455     1013.818      381.131
      222        4.030        6.209            3      855.646      943.349      367.341
      223        3.553        6.175            2      860.773      938.748      401.150
      224        3.773        6.038            3      838.714      892.709      366.904
      225        3.898        6.106            3      856.477      935.290      358.992
      226        3.595        5.993            3      818.716      863.457      370.253
      227        3.943        6.085            2      860.422      972.032      358.882
      228        4.039        6.050            3      835.403      956.039      355.899
