  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      223        2.977        6.496            0      862.481      764.162      426.357
      224        2.240        6.712            1      863.885      714.360      429.371
      225        2.500        6.925            1      925.981      812.200      427.782
      226        2.157        6.642            0      873.416      762.817      456.909
      227        2.538        6.647            1      844.677      770.811      455.861
      228        2.376        6.917            1      845.199      748.778      457.020
      229        2.502        6.903            1      853.397      776.304      452.981
      230        2.577        6.830            0      837.665      768.230      448.689
      231        2.444        7.093            1      866.936      741.908      450.598
      232        2.668        6.887            1      823.493      695.799      427.713
      233        2.392        6.960            1      859.416      774.163      432.865
      234        2.728        6.680            0      840.008      785.678      451.630
      235        2.607        6.629            2      851.409      784.560      450.578
      236        2.936        6.658            1      847.031      771.236      434.837
      237        3.998        6.322            2      848.106      818.974      443.946
      238        3.022        6.226            2      849.809      813.271      456.986
      239        3.041        6.496            1      846.590      788.857      448.226
      240        3.125        6.526            2      861.178      812.197      428.646
      241        2.914        6.556            1      863.486      837.016      437.419
      242        2.338        6.978            2      863.476      848.802      423.285
      243        2.155        6.846            1      843.640      733.473      429.770
      244        2.084        6.825            2      846.238      771.983      418.485
      245        2.191        6.759            2      859.971      783.088      439.647
      246        2.036        7.052            2      863.907      788.053      438.064
      247        2.144        6.812            2      862.195      752.854      434.958
      248        2.311        6.698            2      846.946      783.710      432.784
      249        2.189        6.808            2      840.958      698.400      440.933
      250        2.074        6.758            2      831.412      737.776      431.555
      251        2.058        6.925            1      861.803      728.509      425.408
      252        2.034        6.768            2      850.983      713.009      421.461
      253        2.257        6.714            2      844.242      687.139      429.531
      254        2.559        7.225            2      884.009      845.616      448.219
      255        2.016        6.711            2      858.304      738.378      440.921
      256        1.994        6.814            1      858.159      701.102      429.773
      257        2.117        6.694            2      847.746      728.398      435.598
      258        2.630        7.012            0      862.422      709.027      432.451
      259        2.032        6.777            2      844.890      678.806      436.396
      260        2.159        6.717            1      869.535      726.632      422.831
      261        2.141        6.860            1      865.300      725.779      452.863
      262        2.251        7.056            1      871.195      756.826      429.219
      263        2.682        6.717            2      858.893      752.751      430.445
      264        2.306        6.804            1      839.443      660.693      433.861
      265        2.120        6.868            0      864.212      717.687      472.787
      266        2.040        6.485            0      839.197      693.926      441.163
      267        2.732        6.885            1      892.518      864.999      466.106
      268        2.789        6.534            2      880.613      735.984      435.839
      269        3.122        6.593            2      880.672      839.133      464.461
      270        3.146        6.783            1      916.917      850.633      471.708
      271        2.960        7.304            2      934.461      840.080      491.044
      272        2.173        7.057            2      894.407      795.744      475.427
      273        2.362        7.186            2      894.028      777.403      460.789
      274        1.932        6.916            1      850.260      709.447      422.535
      275        2.161        6.726            2      857.675      683.769      440.353
