## Torsion are defined with the following atomIDs:
# dihed1: ai= 19068 aj= 19028 ak= 19026 al= 19025
# dihed2: ai= 19028 aj= 19026 ak= 19025 al= 19024
# dihed3: ai= 19026 aj= 19025 ak= 19024 al= 19023
# dihed4: ai= 19025 aj= 19024 ak= 19023 al= 19019
# dihed5: ai= 19024 aj= 19023 ak= 19019 al= 19018
# dihed6: ai= 19023 aj= 19019 ak= 19018 al= 19017
# dihed7: ai= 19023 aj= 19019 ak= 19020 al= 19021
# dihed8: ai= 19019 aj= 19018 ak= 19017 al= 19030
# dihed9: ai= 19036 aj= 19031 ak= 19032 al= 19033
# dihed10: ai= 19031 aj= 19032 ak= 19033 al= 19035
# dihed11: ai= 19032 aj= 19033 ak= 19035 al= 19073
# dihed12: ai= 19016 aj= 19015 ak= 19014 al= 19013
# dihed13: ai= 19015 aj= 19014 ak= 19013 al= 19037
# dihed14: ai= 19038 aj= 19010 ak= 19009 al= 19008
# dihed15: ai= 19010 aj= 19009 ak= 19008 al= 19007
# dihed16: ai= 19009 aj= 19008 ak= 19007 al= 19006
# dihed17: ai= 19008 aj= 19007 ak= 19006 al= 19005
# dihed18: ai= 19041 aj= 19004 ak= 19003 al= 19002
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10  dihed11  dihed12  dihed13  dihed14  dihed15  dihed16  dihed17  dihed18
62 -174.479   14.625 -176.536 -140.257   98.849 -106.205   82.589    7.193   36.885  -12.419   13.244   18.104  -81.837   72.380  174.583  170.961  114.274  171.885
63  177.085    8.043 -163.771 -120.976   79.998 -101.398  -48.370   16.669   -4.704    6.289    4.887    7.619  -68.655   89.503  166.372 -175.405  115.638 -146.282
64  175.502   11.004 -175.409 -109.567   80.978 -116.914   90.140   31.443  -17.371    9.578    5.498   16.328  -81.256   84.608  174.148  168.170  109.710  136.098
65 -164.150    7.900 -162.980 -127.849   84.619 -114.759   57.587   40.927   -3.821  -34.921    5.203   -6.612  -64.662  160.163  177.841   88.853  147.420  -24.000
66 -173.672   -3.724  176.302 -107.917  104.029 -140.088   83.072   15.268  -15.523   -9.373   -7.660   41.798  -89.933  105.086 -172.906  146.075  132.448  -14.390
67 -169.810    3.614 -161.610 -138.450   86.633  -84.947   71.756   -5.829    0.455   11.090   -1.057  -14.035  -54.902  179.112  173.677   92.333  122.791   -4.447
68 -164.669    2.097 -156.739 -145.781   81.017  -62.797   92.761  -37.259  -10.733  -17.857   -7.233    0.832  -77.173  167.155  168.075  100.915  112.547   -6.151
69 -150.874    6.047 -172.003 -104.654   76.425 -114.385   87.868   32.663   17.014   -9.317    0.894   29.067  -79.913  167.574  179.297   89.735  137.791   -4.436
70 -166.661   -3.008 -172.146 -111.535   78.872 -111.736   61.835    4.988  -23.628    7.462  -21.051   48.932 -101.435  120.092  167.322  115.001  129.326   14.600
71  179.815   19.995  178.180 -140.747   92.442  -98.271   82.818    2.131   -4.323   10.010  -21.876   24.942 -104.185  110.301 -168.347   63.768   38.464   20.704
72  175.652   -2.043 -178.892 -148.580  104.746  -88.864   99.002   -5.446   -5.977    4.269   -7.016   -6.511  -51.141  164.989  178.627  114.058  -68.818    4.110
73  167.894    8.165 -171.416 -141.259   87.177 -104.169   81.408   -4.598   -0.231  -16.122  -11.288   28.250  -72.254 -169.244  173.108   99.570 -106.759  -10.208
74 -178.156   -3.936 -171.007 -118.770   80.043 -101.926   79.359  -12.400  -14.055  -10.213   -1.796   36.465  -75.285 -175.206  166.681  104.335  -86.540   -6.349
75 -166.414   -8.523 -165.482 -103.326   79.609 -115.407  105.845   12.317   -3.583   10.673    4.251    8.684  -98.784  145.679  166.064  111.427  -47.182  -18.478
76 -153.898    8.569 -177.232 -122.286   68.054  -95.519   76.918   11.615   -6.288   -2.892   -2.294   27.115  -73.323   83.981 -178.875 -149.064 -123.102 -164.703
77 -167.133  -13.144 -162.690 -106.711   71.757  -97.611   96.307   18.368   -7.820    9.697   -5.983   13.569  -73.528   66.972 -167.372 -119.934 -141.163 -149.181
78 -151.835   -5.653 -175.073 -110.953   84.425 -100.103   91.076   17.759   -3.130   -4.554    3.276   -2.185  -49.521   95.698 -163.637 -161.897 -107.569  169.328
79 -174.535   -8.973 -170.290 -160.236  104.866  -45.738   76.381  -30.580  -14.599    7.452   -6.637   21.593  -86.143   73.445 -177.313 -154.269 -101.854 -155.707
80  176.064    5.351 -167.902 -130.117   71.570 -106.644   88.755    5.980  -13.439  -18.319    9.427   14.917  -65.382  158.209  170.925  -61.135  -56.823  -29.588
81  164.385    5.046  173.393 -111.368   74.048 -109.374   81.679   32.500  -21.029    4.586  -11.746   25.448  -83.120  166.618  174.672  -82.213 -115.399   15.602
82 -163.804   -5.648  177.169 -127.620   96.657 -105.394   76.186    5.442   -3.241  -13.685   10.528    0.159  -64.703  142.481  172.586  -94.425 -112.191 -168.408
83 -173.072    6.434 -171.233 -135.319   86.421  -88.991  -13.772   -9.181   25.362  -10.882   11.159   23.204  -95.838  111.296  175.287  179.099 -107.301  156.561
84 -172.724    3.429 -162.936 -120.032   70.615 -105.474   85.020   28.935    2.863    0.713   -3.264   17.594  -84.771   94.993  166.305  160.208  -90.426  168.752
85 -153.334    0.308  177.581 -122.470   89.863  -92.007   65.320   -6.645   32.219  -27.364  -26.333   -4.102  -77.015   57.275 -174.278 -126.989 -109.842 -172.744
86  172.352    4.760 -173.044 -133.607   87.758  -84.129   73.820  -12.109    1.457    9.186   -5.717   25.162  -88.728   67.331 -178.263 -131.405 -130.401 -161.464
87  169.355    3.876 -167.617 -100.682   75.366 -120.080   77.418   46.216   11.241   -7.813   -3.651    2.462  -65.432   85.474  178.509 -172.316   88.535 -129.291
88 -166.176   22.099 -171.654 -109.469   84.457 -108.021   90.407   10.089   -1.745    3.407   17.328   30.915  -85.989   88.137  170.325  168.209  126.949 -171.177
89  175.229   -1.094  176.844 -128.412   95.814  -82.127   90.798  -13.214  -11.505  -12.238   10.758  -12.129  -86.901  148.009 -177.126   97.427  118.528   27.024
90 -177.294    0.512 -164.976 -136.195   85.225  -99.065   60.411   -3.649   14.795   -3.844   -8.744   15.365  -84.239   69.255 -177.976 -137.907 -101.226 -166.043
91 -167.075   -6.139 -175.675 -113.936   81.582  -89.666   62.886   -0.596    7.079  -22.073   15.373    5.197  -77.019   79.572 -174.840 -139.351 -117.751  174.514
92  172.778  -22.227 -171.536 -107.079   78.274  -81.252   55.236   -9.432   -8.121   13.781  -10.454   17.955  -86.205   89.338 -177.766 -167.147  -86.936  164.007
93 -170.452   -5.605 -170.781 -116.788   80.349 -105.220   79.860   24.811    3.208   -5.817   17.385   17.701  -70.655   77.846 -169.618 -161.823  -59.402  148.920
94  146.965   -6.785 -171.636 -129.474   74.794  -73.637   61.434   -9.590  -12.475    7.659   18.215   -1.192  -65.018   72.093  176.867  -94.802 -124.792  154.897
95  162.132   14.357 -176.832 -145.354   82.526  -86.940   83.094   -9.080   14.005   -8.983   -8.276    8.399  -63.393   74.830 -164.861 -116.768 -138.426 -138.246
96  170.835   -4.346 -163.252 -119.859   71.318 -103.359   -2.244   -3.564   -0.503  -12.449   15.723   45.108  -98.203   54.954 -164.573 -137.202 -102.784 -161.141
97  170.280   -5.805  172.278 -121.075   88.226  -92.344   77.879    0.912   -1.142  -31.232   31.812    9.618  -73.831   86.456 -167.925 -119.339 -120.371 -155.334
