  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      262        2.131        6.899            1      572.464      447.999      408.479
      263        2.140        6.916            2      572.849      423.342      412.854
      264        2.306        6.804            2      580.882      402.642      425.970
      265        2.080        6.838            2      575.369      462.933      411.749
      266        2.139        6.706            0      574.587      399.276      414.630
      267        2.248        6.985            1      570.601      407.874      408.715
      268        1.817        6.736            0      574.680      379.100      419.934
      269        2.065        6.880            2      574.783      449.291      417.866
      270        2.117        6.777            2      571.835      438.521      415.978
      271        1.950        6.688            1      568.832      427.409      402.559
      272        2.220        7.048            1      577.173      444.278      426.257
      273        2.042        6.579            2      567.155      411.654      402.644
      274        2.519        7.080            0      577.722      444.596      422.923
      275        2.029        6.897            1      576.306      405.361      403.243
      276        2.286        6.734            1      577.061      395.498      408.286
      277        1.914        6.776            1      569.025      449.751      411.604
      278        2.528        7.065            0      574.183      463.530      409.648
      279        2.841        7.065            1      568.270      433.511      401.492
      280        3.749        6.923            1      576.532      483.852      415.196
      281        3.596        6.760            1      574.501      437.239      410.853
      282        3.462        6.917            2      573.837      455.035      405.170
      283        2.492        6.607            1      572.667      452.861      408.154
      284        2.350        6.401            1      581.245      436.586      426.880
      285        2.399        6.093            2      568.473      412.242      415.881
      286        2.185        5.650            0      580.746      402.201      394.128
      287        2.227        5.794            1      570.888      432.662      394.672
      288        2.615        5.191            2      542.656      356.340      356.163
      289        2.220        6.021            1      568.465      451.979      401.000
      290        2.030        5.797            1      560.316      437.552      384.369
      291        2.438        6.379            2      568.681      446.537      407.943
      292        2.485        5.318            0      548.470      368.262      399.509
      293        2.462        5.304            2      549.519      345.060      386.990
      294        1.792        5.863            0      564.960      382.013      419.711
      295        1.587        6.016            2      578.241      394.646      424.392
      296        1.757        5.706            1      575.651      361.635      428.113
      297        1.800        5.545            2      570.377      356.355      419.723
      298        2.678        5.155            0      546.883      344.893      379.781
      299        1.400        5.872            1      576.721      410.367      420.134
      300        1.459        5.916            2      574.593      369.829      422.752
      301        1.627        5.727            1      576.864      343.067      417.977
      302        1.435        5.916            1      568.872      365.699      402.760
      303        1.375        5.931            1      579.435      350.551      422.730
      304        1.717        5.666            2      577.309      388.134      420.239
      305        1.703        5.748            0      559.970      356.244      390.518
      306        1.571        5.808            1      576.052      365.030      412.060
      307        1.397        5.824            1      572.215      385.717      410.231
      308        1.601        5.806            1      573.868      371.881      407.909
      309        1.437        5.868            2      576.032      361.011      421.493
      310        1.480        5.758            2      569.395      386.961      408.638
      311        1.623        5.719            2      576.271      347.067      419.497
      312        1.774        5.734            1      572.666      361.002      396.519
      313        1.181        5.949            2      575.480      396.616      428.793
      314        1.578        5.715            1      574.029      401.037      415.605
      315        1.404        6.012            2      576.906      396.292      417.245
      316        1.475        5.791            1      578.983      361.974      416.644
      317        1.507        5.776            1      580.043      381.634      424.728
      318        1.661        5.728            2      570.384      377.381      409.100
      319        1.669        5.633            2      568.857      384.333      411.361
      320        1.480        5.806            0      576.189      378.570      410.823
      321        1.610        5.806            1      573.665      342.682      416.869
      322        1.683        5.734            2      579.624      426.481      422.109
      323        1.550        5.899            2      575.455      376.160      425.818
      324        1.238        5.943            2      579.373      394.790      425.880
      325        1.502        5.768            2      574.079      393.799      424.086
      326        1.724        5.848            0      575.980      373.176      412.991
      327        1.600        5.779            1      573.299      437.034      406.579
      328        1.755        5.586            0      571.302      381.818      411.930
      329        1.547        5.814            2      576.749      376.761      416.324
      330        1.720        5.648            0      569.184      399.939      402.081
      331        1.439        5.894            1      572.077      364.341      408.223
      332        2.474        5.381            1      558.379      384.077      391.009
      333        1.920        5.664            2      571.120      361.580      423.679
      334        2.524        5.347            2      555.234      372.262      390.905
      335        2.598        5.255            1      547.106      355.014      378.811
      336        2.615        5.271            2      551.199      358.582      379.732
